Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
marketing for restaurants tips,1,1,50,64.95,0.00,https://socialbrothers.nl/5-online-marketing-tips-voor-restaurants/,23,2.56,0.00,0,228000000,"[0,0,0,0,71,0,0,100,0,0,0,0]",1590786057,"Image pack, Reviews, Featured snippet, Video Carousel"
de macht van google,1,1,70,80.26,0.00,https://socialbrothers.nl/de-macht-van-google-2/,32,3.56,0.00,0.18,378000000,"[100,100,33,100,33,67,33,33,33,33,67,33]",1589788161,"Knowledge panel, Image pack, Reviews, Video Carousel"
social brothers,1,1,480,70.09,9.77,https://socialbrothers.nl/,384,42.76,3752.65,0.01,877000000,"[54,67,36,44,36,54,100,82,67,100,82,67]",1591137622,"Knowledge panel, Image pack, Site links, Reviews, Video, Video Carousel"
restaurant marketing,2,2,140,58.14,0.99,https://socialbrothers.nl/5-online-marketing-tips-voor-restaurants/,18,2,18.00,0.39,1100000000,"[52,100,67,81,81,81,67,81,81,81,52,43]",1591219742,"Local pack, Reviews, AdWords top, Video Carousel"
creative content,2,2,110,52.98,0.79,https://socialbrothers.nl/hoe-kom-ik-aan-creative-content/,14,1.55,10.80,0.11,2660000000,"[65,53,41,41,53,41,65,82,53,100,100,65]",1591381085,"Local pack, Reviews, Video Carousel"
brothers lab,2,2,50,79.08,0.00,https://socialbrothers.nl/skippen/sb-lab-nieuw2x/,6,0.66,0.00,0,91700000,"[0,0,0,25,0,100,0,0,0,0,0,0]",1589604279,"Image pack, Reviews, Video Carousel, FAQ"
leadfeeder,3,3,880,65.56,8.68,https://socialbrothers.nl/maak-van-elke-websitebezoeker-een-saleslead-met-leadfeeder/,15,1.67,136.79,0.44,110000,"[72,72,72,72,72,88,100,88,72,100,100,88]",1591526399,"Site links, Reviews, AdWords top, Video Carousel, FAQ"
lens studio,3,3,320,73.15,0.80,https://socialbrothers.nl/creeer-je-eigen-ar-lenzen-voor-snapchat-met-lens-studio/,5,0.55,4.50,0.01,238000000,"[14,21,17,17,17,21,17,21,39,32,39,100]",1591137532,"Image pack, Site links, Reviews, Video Carousel, FAQ"
uber website,3,3,50,79.22,0.56,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0.11,254000000,"[100,25,25,25,25,25,25,100,25,75,25,25]",1590108305,"Site links, Reviews"
laptop gestolen,3,3,90,76.32,0.00,https://socialbrothers.nl/laptop-gestolen-wat-nu/,8,0.89,0.00,0.16,300000,"[64,79,100,100,36,50,64,100,100,50,50,64]",1590122921,"Reviews, Video, Video Carousel"
learning with augmented reality,3,3,40,60.7,0.00,https://socialbrothers.nl/voordelen-van-e-learning-met-augmented-reality-ar-learning/,3,0.33,0.00,0,91100000,"[0,0,0,100,0,0,0,0,0,0,11,0]",1590727001,"Image pack, Site links, Featured snippet, AdWords top, Video Carousel, People also ask"
hulpmiddel bezorgd nl,3,3,50,75.68,0.00,https://socialbrothers.nl/portf/een-strakke-website-voor-hulpmiddelbezorgd-nl/,0,0,0.00,0.06,956000,"[100,50,50,50,50,50,50,50,100,50,50,50]",1590810629,"Knowledge panel, Site links, Reviews"
hku logo,4,4,170,60.41,0.00,https://socialbrothers.nl/de-hololens-bij-de-hku/hku-bigger/,2,0.22,0.00,0,3980000,"[22,22,34,53,22,34,66,66,81,34,100,66]",1589621378,"Image pack, Site links, Video"
social media vs reality,4,4,70,74.21,0.00,https://socialbrothers.nl/social-media-vs-real-life/,4,0.44,0.00,0,1500000000,"[11,11,11,100,11,44,11,11,11,11,56,11]",1589848908,"Image pack, Video, Video Carousel"
utrecht uber,5,5,90,83.05,1.08,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.90,0.2,1700000,"[11,11,56,100,11,11,22,11,11,11,11,11]",1591307982,"Reviews, FAQ"
logo hki,5,5,90,66.16,0.00,https://socialbrothers.nl/de-hololens-bij-de-hku/hku-bigger/,0,0,0.00,0,3560000,"[0,0,0,0,0,0,0,0,0,0,0,100]",1589924078,"Image pack, Site links, Video"
bankpas bij smartphone,5,5,50,84.05,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,2,0.22,0.00,0,116000,"[33,33,67,67,67,100,33,0,33,67,33,0]",1590632654,"Reviews, Featured snippet, FAQ"
