Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,SERP Features,Trend
stofzuiger,60500,90.69,0.37,1.00,4220000,"Knowledge Panel, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.67,0.82,0.67,0.67,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00"
dyson stofzuiger,18100,89.58,0.70,1.00,589000,"Image Pack, Site Links, Reviews, Video, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.45,0.55,0.67,0.67,0.82,0.67,0.82,1.00,1.00,1.00,0.67,0.67"
miele stofzuiger,14800,87.57,0.32,1.00,93,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel","0.55,0.67,0.55,0.55,0.67,0.67,0.67,0.82,0.67,0.82,0.67,1.00"
robot stofzuiger,14800,89.69,0.74,1.00,946000,"Site Links, Reviews, Video, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.67,1.00,0.82,0.82,0.45,0.55,0.67,1.00,0.82,0.82,0.67,0.82"
beste stofzuiger,6600,83.40,0.63,1.00,2480000,"Site Links, Reviews, Featured Snippet, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.67,0.81,0.67,0.67,0.81,0.81,0.81,1.00,1.00,1.00,0.81,1.00"
bosch stofzuiger,6600,91.10,0.34,1.00,86,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.82,0.82,0.44,0.55,0.55,0.55,0.55,0.67,1.00,1.00,0.55,0.67"
draadloze stofzuiger,6600,90.94,0.61,1.00,2430000,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.55,0.67,0.55,0.55,0.67,0.67,0.82,1.00,1.00,1.00,0.67,1.00"
philips stofzuiger,6600,91.96,0.35,1.00,87,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.44,0.55,0.44,0.55,0.55,1.00,0.82,1.00,1.00,0.82,0.82,0.82"
henry stofzuiger,5400,85.01,0.48,1.00,83,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.55,0.67,0.55,0.67,0.82,0.82,1.00,1.00,0.82,1.00,0.82,0.82"
snoerloze stofzuiger,5400,89.66,0.50,1.00,104000,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.44,0.67,0.36,0.44,0.54,0.54,0.67,0.81,1.00,0.81,0.67,0.81"
stofzuiger kopen,5400,86.40,1.21,1.00,1940000,"Local Pack, Image Pack, Site Links, Reviews, Video, Adwords Top, Adwords Bottom, Shopping Ads, FAQ","0.55,0.82,0.67,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00"
stofzuiger zonder zak,5400,88.98,0.75,1.00,420000,"Image Pack, Site Links, Reviews, Video, Adwords Top, Shopping Ads","0.30,0.36,0.30,0.36,0.36,0.36,0.36,0.36,0.36,0.36,1.00,0.55"
zwembad stofzuiger,5400,83.58,0.72,1.00,316000,"Local Pack, Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel","0.07,0.09,0.82,1.00,0.37,0.04,0.04,0.02,0.01,0.01,0.02,0.03"
blokker stofzuiger,4400,94.12,0.13,1.00,85,"Image Pack, Site Links, Reviews, Shopping Ads, FAQ","0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
stofzuiger aanbieding,4400,89.21,0.34,1.00,457000,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, FAQ","0.81,0.81,0.81,0.81,1.00,0.81,0.81,1.00,0.81,1.00,0.81,1.00"
aeg stofzuiger,3600,88.23,0.27,1.00,78,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.36,1.00,0.36,0.44,0.44,0.36,0.44,1.00,0.55,0.44,0.44,0.44"
goedkope stofzuiger,2900,84.94,0.30,1.00,238000,"Local Pack, Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.83,1.00,0.83,1.00,1.00,0.83,1.00,1.00,0.83,1.00,0.83,1.00"
karcher stofzuiger,2900,88.65,0.32,1.00,73,"Image Pack, Site Links, Reviews, Video Carousel, FAQ","0.83,1.00,0.66,1.00,1.00,0.83,1.00,1.00,1.00,1.00,1.00,1.00"
zakloze stofzuiger,2900,88.41,0.58,1.00,77200,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.67,0.81,0.81,0.67,0.81,0.67,1.00,0.81,0.81,1.00,1.00,1.00"
festool stofzuiger,2400,81.58,0.22,1.00,55,"Image Pack, Site Links, Reviews, Video, Shopping Ads, Video Carousel","0.83,0.83,0.83,0.83,0.83,1.00,1.00,0.66,0.66,0.66,0.66,0.83"
hetty stofzuiger,2400,80.64,0.24,1.00,94,"Image Pack, Site Links, Reviews, Video, Video Carousel, FAQ","0.66,0.66,0.66,0.83,1.00,0.83,0.83,1.00,1.00,1.00,0.83,0.83"
stofzuiger blokker,2400,93.09,0.13,1.00,69,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, FAQ","0.66,0.83,0.83,0.83,0.83,0.83,1.00,0.83,0.83,1.00,0.83,0.83"
stofzuiger miele,2400,87.49,0.30,1.00,88,"Local Pack, Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.53,0.81,0.53,0.67,0.67,0.67,0.67,0.81,0.81,0.81,0.67,1.00"
aanbieding stofzuiger,1900,88.55,0.31,1.00,439000,"Image Pack, Site Links, Reviews, Adwords Top, Adwords Bottom, Shopping Ads, FAQ","0.79,0.79,0.67,0.79,0.79,0.79,0.79,0.79,0.79,1.00,0.79,0.79"
auto stofzuiger,1900,84.27,0.20,1.00,1510000,"Image Pack, Reviews, Shopping Ads","0.79,0.79,0.79,1.00,0.79,0.79,1.00,0.79,1.00,1.00,1.00,1.00"
coolblue stofzuiger,1900,85.62,0.33,1.00,58,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel","0.67,0.79,0.67,0.67,0.79,0.67,0.67,0.79,1.00,1.00,0.67,0.79"
makita stofzuiger,1900,86.38,0.20,1.00,72,"Local Pack, Image Pack, Reviews, Adwords Top, Shopping Ads, Video Carousel","0.55,0.66,0.45,0.55,0.55,0.66,0.83,1.00,1.00,1.00,0.83,1.00"
nilfisk stofzuiger,1900,81.68,0.54,1.00,91,"Local Pack, Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.67,0.79,0.67,0.79,0.79,0.79,0.79,1.00,0.79,1.00,0.79,1.00"
steel stofzuiger,1900,90.63,0.68,1.00,993000,"Local Pack, Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.45,0.66,0.45,0.55,0.55,0.55,0.66,1.00,1.00,0.83,0.66,0.83"
stofzuiger robot,1900,87.51,0.75,1.00,328000,"Local Pack, Image Pack, Site Links, Reviews, Video, Shopping Ads, Video Carousel","0.79,0.79,0.67,0.67,0.67,0.67,0.79,1.00,0.79,0.79,0.67,0.79"
accu stofzuiger,1600,89.49,0.39,1.00,696000,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.84,1.00,0.68,0.68,0.84,0.68,0.84,1.00,1.00,0.84,0.68,0.84"
mediamarkt stofzuiger,1600,94.52,0.26,1.00,71,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.00,0.84,1.00,0.68,0.68"
speelgoed stofzuiger,1600,84.98,0.18,1.00,428000,"Local Pack, Image Pack, Reviews, Shopping Ads, Video Carousel","0.24,0.44,0.20,0.28,0.28,0.44,0.53,1.00,0.44,0.36,0.36,0.44"
stofzuigen,1600,88.20,0.36,1.00,1340000,"Knowledge Panel, Reviews, Video Carousel","0.53,0.68,0.68,0.68,0.68,0.84,1.00,1.00,0.84,1.00,1.00,1.00"
stofzuiger henry,1600,85.85,0.48,1.00,83,"Image Pack, Site Links, Reviews, Video, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.53,0.68,0.53,0.68,0.84,0.84,0.84,0.84,0.84,1.00,0.84,0.84"
stofzuiger onderdelen,1600,78.18,0.28,1.00,99,"Local Pack, Image Pack, Site Links, Reviews, Shopping Ads, FAQ","0.68,0.84,0.68,0.68,0.84,0.84,0.84,0.84,0.84,1.00,0.84,1.00"
stofzuiger philips,1600,90.87,0.34,1.00,85,"Local Pack, Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.54,0.67,0.54,0.54,0.67,0.79,0.79,0.79,0.79,1.00,0.79,0.79"
stofzuiger teletubbies,1600,84.58,0.00,0.28,57800,"Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel","0.67,0.54,0.54,0.67,0.67,0.67,0.79,0.79,0.79,1.00,1.00,0.79"
automatische stofzuiger,1300,90.68,0.45,1.00,493000,"Image Pack, Site Links, Reviews, Video, Shopping Ads, Video Carousel, FAQ","0.63,0.81,0.81,0.81,0.63,0.81,0.81,1.00,1.00,0.81,0.63,1.00"
bcc stofzuiger,1300,90.11,0.23,1.00,38,"Image Pack, Site Links, Reviews, Adwords Top, Shopping Ads, FAQ","0.63,0.81,0.63,0.81,0.81,0.81,0.81,1.00,0.81,1.00,0.81,0.81"
goede stofzuiger,1300,84.87,0.27,1.00,1020000,"Site Links, Reviews, Adwords Top, Shopping Ads, Video Carousel, FAQ","0.63,0.81,0.63,0.63,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81"
hyundai stofzuiger,1300,83.93,0.35,1.00,82,"Image Pack, Reviews, Video, Shopping Ads, FAQ","0.53,0.53,0.38,0.68,0.84,0.68,1.00,0.84,0.68,0.84,0.46,0.38"
kleine stofzuiger,1300,87.94,0.35,1.00,1230000,"Image Pack, Site Links, Reviews, Video Carousel","0.63,0.81,0.63,0.81,1.00,0.81,0.81,0.81,0.63,0.81,0.63,0.81"
rowenta stofzuiger,1300,85.55,0.42,1.00,67,"Local Pack, Image Pack, Site Links, Reviews, Video Carousel, FAQ","0.67,1.00,0.24,0.24,0.24,0.20,0.24,0.24,0.24,0.24,0.20,1.00"
stille stofzuiger,1300,81.51,0.91,1.00,98,"Image Pack, Site Links, Reviews, Adwords Top, Video Carousel, FAQ","0.68,1.00,0.68,0.68,0.84,0.68,0.68,0.68,0.68,0.68,0.68,0.84"
stofzuiger bosch,1300,90.47,0.36,1.00,93,"Local Pack, Image Pack, Site Links, Reviews, Shopping Ads, Video Carousel, FAQ","0.63,0.81,0.55,0.63,0.63,0.63,0.81,0.81,1.00,1.00,0.81,0.81"
